Poet name,Poem name,Poem
فیض احمد فیض,ہم پر تمہاری چاہ کا الزام ہی تو ہے,"ہم پر تمہاری چاہ کا الزام ہی تو ہے
دشنام تو نہیں ہے یہ اکرام ہی تو ہے
کرتے ہیں جس پہ طعن کوئی جرم تو نہیں
شوق فضول و الفت ناکام ہی تو ہے
دل مدعی کے حرف ملامت سے شاد ہے
اے جان جاں یہ حرف ترا نام ہی تو ہے
دل ناامید تو نہیں ناکام ہی تو ہے
لمبی ہے غم کی شام مگر شام ہی تو ہے
دست فلک میں گردش تقدیر تو نہیں
دست فلک میں گردش ایام ہی تو ہے
آخر تو ایک روز کرے گی نظر وفا
وہ یار خوش خصال سر بام ہی تو ہے
بھیگی ہے رات فیضؔ غزل ابتدا کرو
وقت سرود درد کا ہنگام ہی تو ہے"
فیض احمد فیض,دونوں جہان تیری محبت میں ہار کے,"دونوں جہان تیری محبت میں ہار کے
وہ جا رہا ہے کوئی شب غم گزار کے
ویراں ہے مے کدہ خم و ساغر اداس ہیں
تم کیا گئے کہ روٹھ گئے دن بہار کے
اک فرصت گناہ ملی وہ بھی چار دن
دیکھے ہیں ہم نے حوصلے پروردگار کے
دنیا نے تیری یاد سے بیگانہ کر دیا
تجھ سے بھی دل فریب ہیں غم روزگار کے
بھولے سے مسکرا تو دیے تھے وہ آج فیضؔ
مت پوچھ ولولے دل ناکردہ کار کے"
کیف احمد صدیقی,ہو گئے ناکام تو پچھتائیں کیا,"ہو گئے ناکام تو پچھتائیں کیا
دوستوں کے سامنے شرمائیں کیا
ہو رہے ہیں فیل ہم دو سال سے
گھر میں جا کر اپنا منہ دکھلائیں کیا
جب کسی صورت نہیں اس سے مفر
امتحاں کے نام سے گھبرائیں کیا
یاد کر لیں آج تھوڑا سا سبق
ماسٹر صاحب کے ڈنڈے کھائیں کیا
جب گرو جی خود نہیں سمجھے سوال
اپنے شاگردوں کو وہ سمجھائیں کیا
پڑھ نہیں سکتے تو شیطانی کریں
آ گئے اسکول میں تو جائیں کیا
آؤ ہم آپس میں کچھ جھگڑا کریں
کھیل سے اب اپنا دل بہلائیں کیا
پوچھتے ہیں ماسٹر ہم کون ہیں
کوئی بتلاؤ کہ ہم بتلائیں کیا
جب کہیں ذوق سخن فہمی نہیں
کیفؔ صاحب کی غزل ہم گائیں کیا"
آنس معین,ہو جائے گی جب تم سے شناسائی ذرا اور,"ہو جائے گی جب تم سے شناسائی ذرا اور
بڑھ جائے گی شاید مری تنہائی ذرا اور
کیوں کھل گئے لوگوں پہ مری ذات کے اسرار
اے کاش کہ ہوتی مری گہرائی ذرا اور
پھر ہاتھ پہ زخموں کے نشاں گن نہ سکو گے
یہ الجھی ہوئی ڈور جو سلجھائی ذرا اور
تردید تو کر سکتا تھا پھیلے گی مگر بات
اس طور بھی ہوگی تری رسوائی ذرا اور
کیوں ترک تعلق بھی کیا لوٹ بھی آیا؟
اچھا تھا کہ ہوتا جو وہ ہرجائی ذرا اور
ہے دیپ تری یاد کا روشن ابھی دل میں
یہ خوف ہے لیکن جو ہوا آئی ذرا اور
لڑنا وہیں دشمن سے جہاں گھیر سکو تم
جیتو گے تبھی ہوگی جو پسپائی ذرا اور
بڑھ جائیں گے کچھ اور لہو بیچنے والے
ہو جائے اگر شہر میں مہنگائی ذرا اور
اک ڈوبتی دھڑکن کی صدا لوگ نہ سن لیں
کچھ دیر کو بجنے دو یہ شہنائی ذرا اور"
خورشید اکبر,گھر بار کہاں کوچہ و بازار مری جاں,"گھر بار کہاں کوچہ و بازار مری جاں
درویش کو دنیا نہیں درکار مری جاں
اک شہر زمیں بوس ہے آمد پہ تمہاری
رستے میں بچھے ہیں در و دیوار مری جاں
کیوں عرصۂ افلاک سیہ پوش ہے بولو
کس طرح زمیں ہو گئی گلنار مری جاں
کچھ پھول ہیں شاخوں سے ابھی جھول رہے ہیں
رخسار پہ رکھے ہوئے رخسار مری جاں
روتا ہوں تو سیلاب سے کٹتی ہیں زمینیں
ہنستا ہوں تو ڈھہ جاتے ہیں کہسار مری جاں
سنتے ہیں فلک بوس عمارت ہے تہہ آب
کیا شہر تھا کیا موج کی رفتار مری جاں
دل ہے کہ ابھی درد کے نرغے میں گھرا ہے
چہرہ ہے کہ عالم میں ہے اخبار مری جاں
تا عمر نہ ملنے کی کسک ساتھ رہے گی
پہلا تو نہیں آخری دیدار مری جاں"
کیف احمد صدیقی,مجھے نقل پر بھی اتنا اگر اختیار ہوتا,"مجھے نقل پر بھی اتنا اگر اختیار ہوتا
کبھی فیل امتحاں میں نہ میں بار بار ہوتا
جو میں فیل ہو گیا تو سبھی دے رہے ہیں طعنے
کوئی دل نواز ہوتا کوئی غم گسار ہوتا
مجھے آج اتنی نفرت سے نہ دیکھتی یہ دنیا
جو پڑھائی سے ذرا بھی مرے دل کو پیار ہوتا
مرے ماسٹر نہ ہوتے جو علوم و فن میں دانا
کبھی مولیٰ بخش صاحب کا نہ میں شکار ہوتا
وہ پڑھاتے وقت درجے میں ہزار بار برسے
جو مجھے بھی چھینک آتی انہیں ناگوار ہوتا
نہ میں تندرست ہوتا نہ کبھی اسکول جاتا
کبھی سر میں درد رہتا تو کبھی بخار ہوتا
کبھی مدرسے میں آتا کوئی ایسا چاٹ والا
کہ جو مفت میں کھلاتا نہ کبھی ادھار ہوتا
یہ گدھا جو اپنی غفلت سے ہے بےوقوف اتنا
جو یہ خود کو جان جاتا بڑا ہوشیار ہوتا
ترے گھر میں کیفؔ تیرا کوئی قدرداں نہیں ہے
جو وطن سے دور ہوتا تو بڑا وقار ہوتا"
فیض احمد فیض,آئے کچھ ابر کچھ شراب آئے,"آئے کچھ ابر کچھ شراب آئے
اس کے بعد آئے جو عذاب آئے
بام مینا سے ماہتاب اترے
دست ساقی میں آفتاب آئے
ہر رگ خوں میں پھر چراغاں ہو
سامنے پھر وہ بے نقاب آئے
عمر کے ہر ورق پہ دل کی نظر
تیری مہر و وفا کے باب آئے
کر رہا تھا غم جہاں کا حساب
آج تم یاد بے حساب آئے
نہ گئی تیرے غم کی سرداری
دل میں یوں روز انقلاب آئے
جل اٹھے بزم غیر کے در و بام
جب بھی ہم خانماں خراب آئے
اس طرح اپنی خامشی گونجی
گویا ہر سمت سے جواب آئے
فیضؔ تھی راہ سر بسر منزل
ہم جہاں پہنچے کامیاب آئے"
کیف احمد صدیقی,روز مرغا بنا کرے کوئی,"روز مرغا بنا کرے کوئی
کب تک آخر پٹا کرے کوئی
جب کہیں نوکری نہیں ملتی
ڈگریاں لے کے کیا کرے کوئی
مجھ کو ریڈنگ سے سخت نفرت ہے
میں سنوں اور پڑھا کرے کوئی
جس میں آتی ہو بو تعصب کی
ایسی تاریخ کیا کرے کوئی
جن میں جنگ و جدل کے قصے ہوں
وہ کتب کیوں پڑھا کرے کوئی
غیر ملکی زبان انگلش کو
خوا مخواہ کیوں رٹا کرے کوئی
نہیں امید کامیابی جب
امتحاں دے کے کیا کرے کوئی
خوب انصاف ہے کہ درجے میں
میں پٹوں اور خطا کرے کوئی
کب تک آخر بغیر سمجھے ہوئے
فارمولے رٹا کرے کوئی
کیفؔ آتا نہیں جواب خدا
خط کہاں تک لکھا کرے کوئی"
خورشید اکبر,وہ اک چٹان جو پانی ہوئی سلیقے سے,"وہ اک چٹان جو پانی ہوئی سلیقے سے
ندی کچھ اور سیانی ہوئی سلیقے سے
نگہ کی دھار میں خنجر کا ذائقہ اترا
دلوں کی بات زبانی ہوئی سلیقے سے
اسے بھی کھا گئی تہذیب دیمکوں کی طرح
نئی کتاب پرانی ہوئی سلیقے سے
وہ ایک رات جو پہلو میں مطمئن تھی بہت
قیامتوں کی نشانی ہوئی سلیقے سے
اٹھے جو شہر سے صحرا پہ وہ برس بھی گئے
غموں کی نقل مکانی ہوئی سلیقے سے
مرے لہو سے ہیں گل رنگ حسرتیں اس کی
سزا کی شام سہانی ہوئی سلیقے سے
کسی کا قرب کبوتر کے پنکھ جیسا تھا
بدن کی آگ بھی پانی ہوئی سلیقے سے"
ارم زہرا,میں کئی برسوں سے تیری جستجو کرتی رہی,"میں کئی برسوں سے تیری جستجو کرتی رہی
اس سفر میں آرزوؤں کا لہو کرتی رہی
کیا خبر تجھ کو گزاری کیسے میں نے شام غم
آنسوؤں کا پانی لے کر میں وضو کرتی رہی
جب تری یادوں نے مجھ کو نیم پاگل کر دیا
میں تری تصویر سے ہی گفتگو کرتی رہی
کس طرح اپنی تمناؤں کا میں کرتی شمار
بس تجھے پانے کی ہر دم آرزو کرتی رہی
دل کے دروازے پہ جب بھی یاد کی دستک ہوئی
میں تصور میں جگر اپنا رفو کرتی رہی
دل کی دھڑکن کہہ رہی ہے تو اچانک آئے گا
خود کو دن بھر آئینے کے روبرو کرتی رہی
سوچنا بھی مت کبھی تجھ کو بھلا دے گی ارمؔ
وصل کی خواہش ہر اک لمحہ نمو کرتی رہی"
